id,latitude,longitude,images,marineLife,maximumDepth,title,travelUrl,types
11831,-75.0956327285438,163.87207031250003,,,,,,
13438,-62.98206066171223,-60.55801391601563,,,,,,
1183,-42.824711466297344,-64.88061904907227,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/d9/58/d9580c1685465e75a8d9688bc4f7ac26.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/eb/43/6b/2913/c83opt-38-fd-38fd2aa44e5916e6ee8f013d9fd3dd4f.jpg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/55/e2/55e2633a58da5c9c3cffc509994a9a27.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/92/80/5e/cb11/c83opt-df-30-df30a15ae832c6ac14a76d9d5bcdb4d6.jpg'}]",[],,Loberia Punta Loma,/dive-site/argentina/loberia-punta-loma/,['Reef']
1186,-42.76919491914051,-65.00601768493652,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/7c/61/7c618c7d702c49a7203523e3f972be59.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/d8/10/2a/5eaa/img-7202.JPG'}]",[],,Hundimiento Hu Shun Yu #809,/dive-site/argentina/hundimiento-hu-shun-yu-809/,['Reef']
1187,-42.77410933915149,-65.00970840454102,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/81/1c/811c8e1dfa34937c19909ad64c3b9156.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/6e/3c/c2/b7a4/c83opt-4d-32-4d325de46b5b8f3693a0ed507993f4db.jpg'}]",[],,Hundimiento Urabain,/dive-site/argentina/hundimiento-urabain/,['Reef']
1188,-42.78053530000889,-64.96936798095703,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/b8/49/b849f49db036c819337141295c21a758.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/ee/b0/8f/22bb/bucea-hoy-miralles-53.JPG'}]",[],,Hundimiento Miralles,/dive-site/argentina/hundimiento-miralles/,['Reef']
1189,-42.772156218916564,-65.00988006591795,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/61/b4/61b4336f84c27277441fa7ac63e32ac0.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/7f/51/6a/0117/c83opt-04-01-040126c3d037be786da3f616dc487635.jpg'}]",[],,Hundimiento Albatros,/dive-site/argentina/hundimiento-albatros/,['Reef']
1190,-42.79436145417295,-64.94211673736572,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/c1/4b/c14bf8676068d4a62686dc5c82eaaa99.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/e7/92/6e/a750/c83opt-43-29-4329bdd78fbf100c9ab3f8f39d5d60b5.jpg'}]",[],,Naufragio Folias,/dive-site/argentina/naufragio-folias/,"['Beach', 'Reef']"
1192,-42.777763398679184,-64.99855041503906,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/62/d4/62d49f534da5ba77311f67649130bfb9.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/77/a0/5a/ac7d/c83opt-74-f0-74f0a4a46d05192ebd38648e3321b293.jpg'}]",[],,Punta Cuevas,/dive-site/argentina/punta-cuevas/,['Reef']
1193,-42.7345308888639,-65.03077983856201,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/19/ba/19baa6e5eac312e06c7c12a2a72db4c9.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/03/f9/cd/ae90/c83opt-d8-63-d8630a03052a529aef25ff17a968f6b1.jpg'}]",[],,Parque las Piedras,/dive-site/argentina/parque-las-piedras/,['Reef']
