site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,country,state_province_island,city_town,region,year,date,depth (m),organism_code,type,s1 (0-20m),s2 (25-45m),s3 (50-70m),s4 (75-95m),fish_recorded_by,inverts_recorded_by,errors,what_errors
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Dark Butterflyfish,Fish,"","","","","","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Arabian Butterflyfish,Fish,"","","","","","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Longfin Bannerfish,Fish,"","","","","","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Butterflyfish,Fish,11,13,12,16,"","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Barramundi Cod,Fish,0,0,0,0,"","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Humphead Wrasse,Fish,0,0,0,0,"","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Grey Grunt,Fish,"","","","","","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Black Spotted Grunt,Fish,"","","","","","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Spotted Grunt,Fish,"","","","","","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Haemulidae,Fish,4,0,0,0,"","",false,""
98791121-782e-454b-9355-18b648702421,05e7b8dd-ec8e-43bf-980b-8d3d0fd5768a,56.21.50.1E.25.29.30.2N,Al Aqa,"25.491722, 56.363917",56,21,50.1,E,25,29,30.2,N,United Arab Emirates,Fujairah Emirate,Dadna,Arabian Gulf,2010,30-April-10,4.5,Bumphead Parrot,Fish,0,0,0,0,"","",false,""
